AGR_ID|open_rows|open_amt
------|---------|--------
611753|12|100106854.32
505325|6|39322575.51
260351|3|34489644.63
1872|720|9988700.40
302546|120|4177251.00
510222|24|3911721.76
102|1248|3798497.28
1083552|18|2869937.43
494017|12|1449896.58
605694|18|1404539.28
181170|4131|1096789.41
180203|4752|1001354.40
43364|5568|941396.55
606848|9|900948.18
41147|4680|860571.36
103798|4977|807842.15
114374|4819|749047.19
926446|24|713687.98
14017|4608|689179.68
106530|3762|680257.38
254586|2376|673817.40
647454|6|659082.00
7736|4464|656251.92
196822|3120|647743.80
43742|102|638452.00
141240|4758|632317.14
351029|2064|624350.40
7660|4824|610395.84
217814|3120|591212.40
170365|4293|565568.73
13486|3060|561406.20
131227|3|555792.00
89705|4212|544660.74
43048|6390|542370.60
124032|6020|525772.18
18099|4680|515284.56
112462|2376|513652.32
114015|3149|511579.84
286926|3120|511338.60
107393|2376|495260.46
122971|2280|476406.57
224020|4536|468702.00
152117|3060|466307.40
278095|3240|464538.00
2312|360|463051.68
84513|2553|460898.61
179561|6|456177.00
308904|3672|452220.48
11958|4752|452178.00
137709|3240|447931.80
251900|3000|425753.40
404093|6|425172.00
110655|3366|402823.08
96042|2508|396476.61
19446|4680|388090.80
137111|3975|384709.50
130559|3300|383237.40
227289|8|376881.44
131336|3432|376756.38
135952|2173|371104.94
172804|2430|369851.40
2295|96|366821.76
454249|6|366622.98
144032|2430|359460.72
13730|1880|358577.57
307006|2016|357834.24
283079|2112|348715.20
11271|3480|338862.60
51051|2160|335012.64
85799|3120|326046.00
254839|2016|323124.96
80857|2016|320438.40
280600|2760|319983.60
126842|4368|318489.60
266115|1632|315927.36
368178|6|315714.00
99566|2268|315329.76
174017|234|314653.86
344748|2016|312305.28
165974|2214|310404.96
225367|15|310266.15
55018|2295|308549.49
266006|2214|307412.28
316826|1920|307307.04
285796|2760|300538.20
150371|2376|298074.60
60648|2346|293720.22
135670|72|290016.00
331800|1872|288977.76
160825|2346|286242.09
135978|2295|282755.73
225363|19|280930.58
200055|1872|277787.52
204283|1776|275544.96
143969|1530|270315.81
220830|1920|270007.20
69577|1998|267856.20
267123|2208|263816.64
288853|2700|256504.20
123574|2268|256068.54
255213|2376|254487.96
252164|2064|253274.88
151565|2160|251436.96
126413|42|249864.00
120437|1395|246460.50
62410|2208|244341.60
14828|1872|240827.52
68837|1428|240027.90
211426|1968|236211.36
115871|1428|235733.82
522665|6|235158.00
6564|1188|232482.60
494124|6|231815.54
297036|3|230760.00
146847|1176|230652.66
455594|112|230420.48
173435|1134|230042.82
150997|2346|229158.30
96383|2208|229084.32
340176|1479|228930.84
332654|1395|226934.55
362752|3|222495.00
132240|1386|220924.62
16344|1776|220917.60
262296|1920|220574.40
98126|2310|218860.40
233759|2112|218409.60
494121|4|217970.00
373447|1044|217932.12
290969|1968|216716.16
240240|2112|213585.60
513979|120|213565.02
250559|1920|213561.60
84427|1125|211777.65
