LREF	IOCODE	FICHENO	DATE_	DUEDATE	TYPE	CLIENTREF	TLTOTAL	CURID	CURTOTAL	EXPLAIN	CANCELED	OWNERREF	OWNERTYPE	TAX	DV	GRANDTOTAL	PRINTCOUNT	PAYABLETOTAL	CLOSED	FITNO	BN_TYPE	AMOUNT	PERIOD	ADDDATE	ADDUSER	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_ACTION_TYPE_ID	ABYS_AGREEMENT_ID	ABYS_MAIN_LREF	OV_KIND
48561781	1	TAHSILAT	2010-09-07 00:00:00	2010-09-07 00:00:00	101	251522	15	160	15	\N	0	197168	91	0	0	15	0	15	1	136283	1	15	201009	2010-09-07 00:00:00	10001	48561781	9673615	33	197168	16638762	TAH_INV
58196063	1	TAHSILAT	2011-06-16 00:00:00	2011-06-16 00:00:00	101	251522	115	160	115	\N	0	197168	91	0	0	115	0	115	1	136283	1	115	201106	2011-06-16 00:00:00	10001	58196063	11412464	33	197168	18380133	TAH_INV
40731962	1	TAHSILAT	2011-07-18 00:00:00	2011-07-18 00:00:00	101	251522	20	160	20	\N	0	197168	91	0	0	20	0	20	1	136283	1	20	201107	2011-07-18 00:00:00	10001	40731962	11517615	43	197168	18485369	TAH_INV
58958224	1	TAHSILAT	2012-02-14 00:00:00	2012-02-14 00:00:00	101	251522	425	160	425	\N	0	197168	91	0	0	425	0	425	1	136283	1	425	201201	2012-02-14 00:00:00	10001	58958224	13000681	22	197168	19970087	TAH_INV
42175491	1	TAHSILAT	2012-10-15 00:00:00	2012-10-15 00:00:00	101	251522	565	160	565	\N	0	197168	91	0	0	565	0	565	1	136283	1	565	201202	2012-10-15 00:00:00	10001	42175491	13221074	22	197168	20190743	TAH_INV
50830067	1	TAHSILAT	2012-03-13 00:00:00	2012-03-13 00:00:00	101	251522	405	160	405	\N	0	197168	91	0	0	405	0	405	1	136283	1	405	201203	2012-03-13 00:00:00	10001	50830067	13258024	22	197168	20227726	TAH_INV
42175490	1	TAHSILAT	2012-10-15 00:00:00	2012-10-15 00:00:00	101	251522	20	160	20	\N	0	197168	91	0	0	20	0	20	1	136283	1	20	201210	2012-10-15 00:00:00	10001	42175490	14933170	22	197168	21904363	TAH_INV
42343634	1	TAHSILAT	2012-11-21 00:00:00	2012-11-21 00:00:00	101	251522	25	160	25	\N	0	197168	91	0	0	25	0	25	1	136283	1	25	201211	2012-11-21 00:00:00	10001	42343634	15166687	22	197168	22138057	TAH_INV
43116139	1	TAHSILAT	2013-06-18 00:00:00	2013-06-18 00:00:00	101	251522	25	160	25	\N	0	197168	91	0	0	25	0	25	1	136283	1	25	201306	2013-06-18 00:00:00	10001	43116139	16742819	32	197168	23715324	TAH_INV
51628432	1	TAHSILAT	2013-08-03 00:00:00	2013-08-03 00:00:00	101	251522	20	160	20	\N	0	197168	91	0	0	20	0	20	1	136283	1	20	201307	2013-08-03 00:00:00	10001	51628432	17029312	32	197168	24002032	TAH_INV
43820417	1	TAHSILAT	2013-12-05 00:00:00	2013-12-05 00:00:00	101	251522	50	160	50	\N	0	197168	91	0	0	50	0	50	1	136283	1	50	201311	2013-12-05 00:00:00	10001	43820417	18560640	32	197168	25534581	TAH_INV
