LREF	INVOICEREF	CLIENTREF	DATE_	TYPE	LINENR	TRANSTYPE	AMOUNT	TLTOTAL	TAX	GRANDTOTAL	LINEEXP	ABYS_INCOME_ROW_ID	ABYS_INCOME_ID	ABYS_EKS_ACTION_ID	ABYS_AGREEMENT_ID	ABYS_SOURCE_LINE_LREF	OV_KIND
2110000001	1618058764	251522	2011-05-11 00:00:00	92	1	939	1	250.86	0	250.86	IADE GAZ BEDELİ	67325806	939	18058764	197168	67325806	IADE
2110000002	1618058764	251522	2011-05-11 00:00:00	92	2	1929	1	0.86	0	0.86	IADE ONCEKI AYDAN DEVIR	67325809	1929	18058764	197168	67325809	IADE
2110000003	1618058764	251522	2011-05-11 00:00:00	92	3	958	1	1.87	0	1.87	IADE SONRAKI AYA DEVIR	67325808	958	18058764	197168	67325808	IADE
2110000004	1618058764	251522	2011-05-11 00:00:00	92	4	169	1	0	45.15	45.15	IADE TÜKETİM K.D.V.	67325807	169	18058764	197168	67325807	IADE
2110000005	1667004253	251522	2016-12-29 12:27:13	92	1	939	10.51	9.58	0	9.58	IADE GAZ BEDELİ	262085735	939	67004253	197168	262085735	IADE
2110000006	1667004253	251522	2016-12-29 12:27:13	92	2	1861	1	28	0	28	IADE AÇMA - KAPAMA BEDELİ	262085737	1861	67004253	197168	262085737	IADE
2110000007	1667004253	251522	2016-12-29 12:27:13	92	3	1929	1	0.01	0	0.01	IADE ONCEKI AYDAN DEVIR	262085739	1929	67004253	197168	262085739	IADE
2110000008	1667004253	251522	2016-12-29 12:27:13	92	4	958	1	0.33	0	0.33	IADE SONRAKI AYA DEVIR	262085740	958	67004253	197168	262085740	IADE
2110000009	1667004253	251522	2016-12-29 12:27:13	92	5	60	1	0	5.04	5.04	IADE DİĞER KDV	262085738	60	67004253	197168	262085738	IADE
2110000010	1667004253	251522	2016-12-29 12:27:13	92	6	169	1	0	1.72	1.72	IADE TÜKETİM K.D.V.	262085736	169	67004253	197168	262085736	IADE
2110000011	1667481968	6879	2017-01-19 11:33:16	92	1	939	104.29	95.32	0	95.32	IADE GAZ BEDELİ	264355816	939	67481968	5727	264355816	IADE
2110000012	1667481968	6879	2017-01-19 11:33:16	92	2	958	1	0.48	0	0.48	IADE SONRAKI AYA DEVIR	264355818	958	67481968	5727	264355818	IADE
2110000013	1667481968	6879	2017-01-19 11:33:16	92	3	169	1	0	17.16	17.16	IADE TÜKETİM K.D.V.	264355817	169	67481968	5727	264355817	IADE
2110000014	1674030273	6879	2017-11-18 11:47:28	92	1	939	15.18	14.13	0	14.13	IADE GAZ BEDELİ	292236022	939	74030273	5727	292236022	IADE
2110000015	1674030273	6879	2017-11-18 11:47:28	92	2	1864	1	0.02	0	0.02	IADE GECİKME BEDELİ	292236024	1864	74030273	5727	292236024	IADE
2110000016	1674030273	6879	2017-11-18 11:47:28	92	3	1929	1	0.16	0	0.16	IADE ONCEKI AYDAN DEVIR	292236025	1929	74030273	5727	292236025	IADE
2110000017	1674030273	6879	2017-11-18 11:47:28	92	4	169	1	0	2.54	2.54	IADE TÜKETİM K.D.V.	292236023	169	74030273	5727	292236023	IADE
2110000018	1674030553	6879	2017-11-18 14:48:40	92	1	939	6.17	5.74	0	5.74	IADE GAZ BEDELİ	292236634	939	74030553	5727	292236634	IADE
2110000019	1674030553	6879	2017-11-18 14:48:40	92	2	1864	1	0.02	0	0.02	IADE GECİKME BEDELİ	292236636	1864	74030553	5727	292236636	IADE
2110000020	1674030553	6879	2017-11-18 14:48:40	92	3	169	1	0	1.03	1.03	IADE TÜKETİM K.D.V.	292236635	169	74030553	5727	292236635	IADE
2110000021	1674030584	6879	2017-11-18 14:51:15	92	1	939	6.17	5.74	0	5.74	IADE GAZ BEDELİ	292236703	939	74030584	5727	292236703	IADE
2110000022	1674030584	6879	2017-11-18 14:51:15	92	2	1864	1	0.02	0	0.02	IADE GECİKME BEDELİ	292236705	1864	74030584	5727	292236705	IADE
2110000023	1674030584	6879	2017-11-18 14:51:15	92	3	169	1	0	1.03	1.03	IADE TÜKETİM K.D.V.	292236704	169	74030584	5727	292236704	IADE
2110000024	1676361588	6879	2018-03-04 16:47:41	92	1	939	104.97	98.13	0	98.13	IADE GAZ BEDELİ	302224807	939	76361588	5727	302224807	IADE
2110000025	1676361588	6879	2018-03-04 16:47:41	92	2	1929	1	0.06	0	0.06	IADE ONCEKI AYDAN DEVIR	302224809	1929	76361588	5727	302224809	IADE
2110000026	1676361588	6879	2018-03-04 16:47:41	92	3	958	1	0.15	0	0.15	IADE SONRAKI AYA DEVIR	302224810	958	76361588	5727	302224810	IADE
2110000027	1676361588	6879	2018-03-04 16:47:41	92	4	169	1	0	17.66	17.66	IADE TÜKETİM K.D.V.	302224808	169	76361588	5727	302224808	IADE
2110000028	1676361595	6879	2018-03-04 16:55:38	92	1	572	1	65.18	0	65.18	IADE SAYAÇ G4	302224822	572	76361595	5727	302224822	IADE
2110000029	1676361595	6879	2018-03-04 16:55:38	92	2	60	1	0	11.73	11.73	IADE DİĞER KDV	302224823	60	76361595	5727	302224823	IADE
2110000030	1676361596	6879	2018-03-04 16:56:29	92	1	939	104.96	98.12	0	98.12	IADE GAZ BEDELİ	302224816	939	76361596	5727	302224816	IADE
2110000031	1676361596	6879	2018-03-04 16:56:29	92	2	1864	1	1.99	0	1.99	IADE GECİKME BEDELİ	302224818	1864	76361596	5727	302224818	IADE
2110000032	1676361596	6879	2018-03-04 16:56:29	92	3	1905	1	0	0.36	0.36	IADE GECİKME ZAMMI KDV	302224819	1905	76361596	5727	302224819	IADE
2110000033	1676361596	6879	2018-03-04 16:56:29	92	4	169	1	0	17.66	17.66	IADE TÜKETİM K.D.V.	302224817	169	76361596	5727	302224817	IADE
2110000034	1676361601	6879	2018-03-04 17:35:17	92	1	939	104.96	98.12	0	98.12	IADE GAZ BEDELİ	302224839	939	76361601	5727	302224839	IADE
2110000035	1676361601	6879	2018-03-04 17:35:17	92	2	1864	1	1.99	0	1.99	IADE GECİKME BEDELİ	302224841	1864	76361601	5727	302224841	IADE
2110000036	1676361601	6879	2018-03-04 17:35:17	92	3	1902	1	60	0	60	IADE USULSÜZ KULLANIM CEZA BEDELİ	302224843	1902	76361601	5727	302224843	IADE
2110000037	1676361601	6879	2018-03-04 17:35:17	92	4	1905	1	0	0.36	0.36	IADE GECİKME ZAMMI KDV	302224842	1905	76361601	5727	302224842	IADE
2110000038	1676361601	6879	2018-03-04 17:35:17	92	5	60	1	0	10.8	10.8	IADE DİĞER KDV	302224844	60	76361601	5727	302224844	IADE
2110000039	1676361601	6879	2018-03-04 17:35:17	92	6	169	1	0	17.66	17.66	IADE TÜKETİM K.D.V.	302224840	169	76361601	5727	302224840	IADE
2110000040	1689640255	6879	2019-09-26 02:42:34	92	1	7658	2.98	0.46	0	0.46	IADE SKB BEDELİ	369606106	7658	89640255	5727	369606106	IADE
2110000041	1689640255	6879	2019-09-26 02:42:34	92	2	939	2.98	3.8	0	3.8	IADE GAZ BEDELİ	369606108	939	89640255	5727	369606108	IADE
2110000042	1689640255	6879	2019-09-26 02:42:34	92	3	169	1	0	0.76	0.76	IADE TÜKETİM K.D.V.	369606107	169	89640255	5727	369606107	IADE
2110000043	1689640308	6879	2019-09-26 01:58:41	92	1	7658	2.98	0.46	0	0.46	IADE SKB BEDELİ	369606078	7658	89640308	5727	369606078	IADE
2110000044	1689640308	6879	2019-09-26 01:58:41	92	2	939	2.98	3.8	0	3.8	IADE GAZ BEDELİ	369606080	939	89640308	5727	369606080	IADE
2110000045	1689640308	6879	2019-09-26 01:58:41	92	3	1929	1	0.43	0	0.43	IADE ONCEKI AYDAN DEVIR	369606081	1929	89640308	5727	369606081	IADE
2110000046	1689640308	6879	2019-09-26 01:58:41	92	4	169	1	0	0.76	0.76	IADE TÜKETİM K.D.V.	369606079	169	89640308	5727	369606079	IADE
2110000047	1716745295	6879	2022-10-07 23:58:34	92	1	7658	139.2	51.65	0	51.65	IADE SKB BEDELİ	512331952	7658	116745295	5727	512331952	IADE
2110000048	1716745295	6879	2022-10-07 23:58:34	92	2	939	139.2	571.22	0	571.22	IADE GAZ BEDELİ	512331954	939	116745295	5727	512331954	IADE
2110000049	1716745295	6879	2022-10-07 23:58:34	92	3	1929	1	0.03	0	0.03	IADE ONCEKI AYDAN DEVIR	512331955	1929	116745295	5727	512331955	IADE
2110000050	1716745295	6879	2022-10-07 23:58:34	92	4	169	1	0	112.12	112.12	IADE TÜKETİM K.D.V.	512331953	169	116745295	5727	512331953	IADE
2110000051	1716777475	6879	2022-10-10 10:28:11	92	1	7658	37.62	13.97	0	13.97	IADE SKB BEDELİ	512332368	7658	116777475	5727	512332368	IADE
2110000052	1716777475	6879	2022-10-10 10:28:11	92	2	939	37.62	154.39	0	154.39	IADE GAZ BEDELİ	512332370	939	116777475	5727	512332370	IADE
2110000053	1716777475	6879	2022-10-10 10:28:11	92	3	1864	1	0.06	0	0.06	IADE GECİKME BEDELİ	512332371	1864	116777475	5727	512332371	IADE
2110000054	1716777475	6879	2022-10-10 10:28:11	92	4	1929	1	0.03	0	0.03	IADE ONCEKI AYDAN DEVIR	512332373	1929	116777475	5727	512332373	IADE
2110000055	1716777475	6879	2022-10-10 10:28:11	92	5	1905	1	0	0.01	0.01	IADE GECİKME ZAMMI KDV	512332372	1905	116777475	5727	512332372	IADE
2110000056	1716777475	6879	2022-10-10 10:28:11	92	6	169	1	0	30.3	30.3	IADE TÜKETİM K.D.V.	512332369	169	116777475	5727	512332369	IADE
2110000057	1723121756	6879	2023-06-21 22:25:28	92	1	162	123	123	0	123	IADE GÜVENCE BEDELİ	546972732	162	123121756	5727	546972732	IADE
2110000058	1723240339	251522	2023-07-02 18:58:50	92	1	7658	59.08	60.71	0	60.71	IADE SKB BEDELİ	545389322	7658	123240339	197168	545389322	IADE
2110000059	1723240339	251522	2023-07-02 18:58:50	92	2	939	59.08	242.43	0	242.43	IADE GAZ BEDELİ	545389324	939	123240339	197168	545389324	IADE
