LREF	INVOICEREF	TYPE	IOCODE	CROSSREF	PAYTYPE	TRANSTYPE	LINETYPE	INST_NR	DATE_	PAYABLETOTAL	PAID	CANCELED	CLIENTREF	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_AGREEMENT_ID	ABYS_EKS_ACTION_ID	ABYS_MAIN_LREF	OV_KIND
1667481968	1667481968	92	1	\N	174	113	103	0	2017-01-19 11:33:16	112	0	0	6879	67481968	29622585	5727	67481968	67447792	IADE
1674030553	1674030553	92	1	\N	174	113	103	0	2017-11-18 14:48:40	6.79	0	0	6879	74030553	33055083	5727	74030553	74030551	IADE
1674030273	1674030273	92	1	\N	174	113	103	0	2017-11-18 11:47:28	16.53	0	0	6879	74030273	33055009	5727	74030273	74030265	IADE
1674030584	1674030584	92	1	\N	174	113	103	0	2017-11-18 14:51:15	6.79	0	0	6879	74030584	33055097	5727	74030584	74030576	IADE
1676361588	1676361588	92	1	\N	174	113	103	0	2018-03-04 16:47:41	116	0	0	6879	76361588	34202546	5727	76361588	76361587	IADE
1676361596	1676361596	92	1	\N	174	113	103	0	2018-03-04 16:56:29	118.13	0	0	6879	76361596	34202548	5727	76361596	76361590	IADE
1676361601	1676361601	92	1	\N	174	113	103	0	2018-03-04 17:35:17	188.93	0	0	6879	76361601	34202552	5727	76361601	76361600	IADE
1689640308	1689640308	92	1	\N	174	113	103	0	2019-09-26 01:58:41	5.45	0	0	6879	89640308	41154888	5727	89640308	89640248	IADE
1689640255	1689640255	92	1	\N	174	113	103	0	2019-09-26 02:42:34	5.02	0	0	6879	89640255	41154894	5727	89640255	89640254	IADE
1716745295	1716745295	92	1	\N	174	113	103	0	2022-10-07 23:58:34	735.02	0	0	6879	116745295	55169583	5727	116745295	116745294	IADE
1716777475	1716777475	92	1	\N	174	113	103	0	2022-10-10 10:28:11	198.76	0	0	6879	116777475	55169586	5727	116777475	116745395	IADE
1676361595	1676361595	92	1	\N	174	113	103	0	2018-03-04 16:55:38	76.91	0	0	6879	76361595	34202550	5727	76361595	76361594	IADE
1723121756	1723121756	92	1	\N	174	113	103	0	2023-06-21 22:25:28	123	0	0	6879	123121756	58680626	5727	123121756	123121467	IADE
1618058764	1618058764	92	1	\N	174	113	103	0	2011-05-11 00:00:00	295	0	0	251522	18058764	11091398	197168	18058764	18058763	IADE
1723240339	1723240339	92	1	\N	174	113	103	0	2023-07-02 18:58:50	243.47	0	0	251522	123240339	58522082	197168	123240339	122868581	IADE
1667004253	1667004253	92	1	\N	174	113	103	0	2016-12-29 12:27:13	44	0	0	251522	67004253	29336734	197168	67004253	66932162	IADE
