PAY_LREF	MAIN_LREF	ABYS_AGREEMENT_ID	ACCOUNT_ID	ACTION_TYPE_ID	PAYABLETOTAL	DEP_ACCOUNT_ID	DEP_ACTION_ID	CASH_ID	RECEIPT_NUMBER	OV_KIND
49747798	20811205	276503	13841039	6	11.6	27047596	\N	73	38206	MAHSUP_SRC
1350000234	49747797	276503	13841039	6	22.5	27047596	\N	73	38206	MAHSUP_SRC
60940043	19115898	197168	12147565	6	9.9	27095065	\N	1	893887	MAHSUP_SRC
60940054	19444984	197168	12476283	6	5.1	27095065	\N	1	893898	MAHSUP_SRC
60940061	19444984	197168	12476283	6	15	11881154	\N	1	893900	MAHSUP_SRC
62417583	19733171	276503	12764076	6	202.77	13841039	\N	1	1133378	MAHSUP_SRC
62417585	20133086	276503	13163561	6	385.44	13841039	\N	1	1133380	MAHSUP_SRC
62417587	20257454	276503	13287732	6	246.28	13841039	\N	1	1133382	MAHSUP_SRC
62417589	20360857	276503	13391048	6	160.86	13841039	\N	1	1133384	MAHSUP_SRC
62417591	20622609	276503	13652578	6	98.05	13841039	\N	1	1133386	MAHSUP_SRC
63947415	63947404	197168	27888715	6	13.51	15640062	63947414	1	264225	MAHSUP_SRC
63947417	63947404	197168	27888715	6	0.43	27095066	63947416	1	264226	MAHSUP_SRC
63947419	63947404	197168	27888715	6	18.09	27095064	63947418	1	264247	MAHSUP_SRC
63984625	63984619	5727	27898820	6	6.54	15547741	63984624	1	271925	MAHSUP_SRC
66047850	66047848	2221	28904085	6	248.34	15406507	66047849	1	410703	MAHSUP_SRC
73159853	72656434	556305	32342547	6	22	32602009	73159851	1	91836	MAHSUP_SRC
73159855	73159848	556305	32602007	6	11.7	32602009	73159854	1	91837	MAHSUP_SRC
123745233	123745231	197168	59106222	6	202.07	58522082	123745232	1	699728	MAHSUP_SRC
123745235	123745231	197168	59106222	6	0.1	58750448	123745234	1	699729	MAHSUP_SRC
124224614	123745231	197168	59106222	6	41.3	58522082	124224613	46	5013	MAHSUP_SRC
