LREF	RETURN_TARGET_INVREF	CANCEL_DATE	CANCEL_REASON_ID	CANCEL_USER_ID	CLOSED	CANCELED	ABYS_EKS_ACTION_ID	ABYS_AGREEMENT_ID
67447792	1667481968	2017-01-19 11:33:16	6	211	1	0	67481968	5727
74030551	1674030553	2017-11-18 14:48:40	6	211	1	0	74030553	5727
74030265	1674030273	2017-11-18 11:47:28	6	211	1	0	74030273	5727
74030576	1674030584	2017-11-18 14:51:15	6	211	1	0	74030584	5727
76361587	1676361588	2018-03-04 16:47:41	6	211	1	0	76361588	5727
76361590	1676361596	2018-03-04 16:56:29	6	211	1	0	76361596	5727
76361600	1676361601	2018-03-04 17:35:17	6	211	1	0	76361601	5727
89640248	1689640308	2019-09-26 01:58:41	6	211	1	0	89640308	5727
89640254	1689640255	2019-09-26 02:42:34	6	211	1	0	89640255	5727
116745294	1716745295	2022-10-07 23:58:34	6	211	1	0	116745295	5727
116745395	1716777475	2022-10-10 10:28:11	6	211	1	0	116777475	5727
76361594	1676361595	2018-03-04 16:55:38	6	211	1	0	76361595	5727
123121467	1723121756	2023-06-21 22:25:28	6	211	1	0	123121756	5727
18058763	1618058764	2011-05-11 00:00:00	6	211	1	0	18058764	197168
122868581	1723240339	2023-07-02 18:58:50	6	211	1	0	123240339	197168
66932162	1667004253	2016-12-29 12:27:13	6	211	1	0	67004253	197168
