LREF	INVOICEREF	TYPE	IOCODE	CROSSREF_MAIN_LREF	PAYTYPE	TRANSTYPE	LINETYPE	INST_NR	DATE_	PAYABLETOTAL	PAID	CANCELED	CANCELLATIONPAYMENT	CLIENTREF	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_AGREEMENT_ID	ABYS_MAIN_LREF	ABYS_ACTION_TYPE_ID	OV_KIND	REF_DEPOSIT_ACCOUNT_ID	REF_DEPOSIT_ACCOUNT_ACTION_ID	CASH_ID	RECEIPT_NUMBER	ALLOC_RN	PAY_FULL_AMT	ALLOC_SRC
34731473	34731473	101	1	468800	32	113	103	0	2009-03-10 00:00:00	246	0	0	0	251522	34731473	570480	197168	468800	4	PAY	\N	\N	12	23902	1	246	INCOME
34943669	34943669	101	1	661450	32	113	103	0	2011-05-17 00:00:00	311	0	0	0	306082	34943669	853989	276503	661450	4	PAY	\N	\N	22	48641	1	311	INCOME
34984326	34984326	101	1	702889	32	113	103	0	2011-10-20 00:00:00	11	0	0	0	306082	34984326	899639	276503	702889	4	PAY	\N	\N	80	13459	1	11	INCOME
35080081	35080081	101	1	800106	32	113	103	0	2013-01-16 00:00:00	200	0	0	0	306082	35080081	998085	276503	800106	4	PAY	\N	\N	70	85752	1	200	INCOME
35080082	35080082	101	1	800107	32	113	103	0	2013-01-16 00:00:00	41.45	0	0	0	306082	35080082	998086	276503	800107	4	PAY	\N	\N	70	85753	1	41.45	INCOME
35315774	35315774	101	1	35315773	32	113	103	0	2002-04-09 00:00:00	30	0	0	0	6879	35315774	26833591	5727	35315773	4	PAY	\N	\N	1	1321	1	30	INCOME
35356494	35356494	101	1	35356493	32	113	103	0	2000-11-28 00:00:00	2520	0	0	0	48214	35356494	26853951	2221	35356493	4	PAY	\N	\N	1	21681	1	2520	INCOME
35892386	35892386	101	1	8610521	174	113	103	0	2004-03-22 00:00:00	48.18	0	0	0	6879	35892386	1697841	5727	8610521	7	PAY	\N	\N	515	13	1	48.18	INCOME
35903044	35903044	101	1	8170377	174	113	103	0	2004-12-16 00:00:00	2450.84	0	0	0	48214	35903044	1258730	2221	8170377	7	PAY	\N	\N	521	200412006931004	1	2450.84	INCOME
35924390	35924390	101	1	8212936	174	113	103	0	2004-11-23 00:00:00	13.56	0	0	0	6879	35924390	1301161	5727	8212936	7	PAY	\N	\N	519	1307	1	13.56	INCOME
36009427	36009427	101	1	8406681	174	113	103	0	2004-07-27 00:00:00	8.61	0	0	0	6879	36009427	1494398	5727	8406681	7	PAY	\N	\N	531	33019003598	1	8.61	INCOME
36056095	36056095	101	1	10407024	174	113	103	0	2004-03-16 00:00:00	2730.67	0	0	0	48214	36056095	3488489	2221	10407024	7	PAY	\N	\N	521	200403005649186	1	2730.67	INCOME
36084553	36084553	101	1	8802265	32	113	103	0	2004-02-27 00:00:00	70.34	0	0	0	6879	36084553	1889275	5727	8802265	4	PAY	\N	\N	13	11998	1	70.34	INCOME
36090783	36090783	101	1	8449236	32	113	103	0	2003-02-18 00:00:00	0.38	0	0	0	6879	36090783	1536886	5727	8449236	4	PAY	\N	\N	6	16595	1	0.38	INCOME
36092282	36092282	101	1	8445999	32	113	103	0	2003-01-28 00:00:00	6033.73	0	0	0	48214	36092282	1533659	2221	8445999	4	PAY	\N	\N	7	782	1	6033.73	INCOME
36094467	36094467	101	1	8445999	32	113	103	0	2003-02-06 00:00:00	475	0	0	0	48214	36094467	1533659	2221	8445999	4	PAY	\N	\N	7	919	1	486.78	INCOME
1350000017	36094467	101	1	36094466	32	113	103	0	2003-02-06 00:00:00	11.78	0	0	0	48214	36094467	1533659	2221	36094466	4	PAY	\N	\N	7	919	2	486.78	INCOME
36094688	36094688	101	1	8791067	174	113	103	0	2004-02-20 00:00:00	4325.91	0	0	0	48214	36094688	1878094	2221	8791067	7	PAY	\N	\N	521	200402005658595	1	4325.91	INCOME
36124560	36124560	101	1	8747460	174	113	103	0	2004-01-19 00:00:00	3522.65	0	0	0	48214	36124560	1834557	2221	8747460	7	PAY	\N	\N	521	200401005286326	1	3522.65	INCOME
36131524	36131524	101	1	8765345	174	113	103	0	2004-01-26 00:00:00	62.32	0	0	0	6879	36131524	1852418	5727	8765345	7	PAY	\N	\N	521	200401007292165	1	62.32	INCOME
36156430	36156430	101	1	8371893	174	113	103	0	2002-11-22 00:00:00	652.97	0	0	0	48214	36156430	1459750	2221	8371893	7	PAY	\N	\N	502	14	1	652.97	INCOME
36176025	36176025	101	1	8489418	174	113	103	0	2004-05-17 00:00:00	15.95	0	0	0	6879	36176025	1576991	5727	8489418	7	PAY	\N	\N	519	1649	1	15.95	INCOME
