LREF	INVOICEREF	TYPE	IOCODE	CROSSREF_MAIN_LREF	PAYTYPE	TRANSTYPE	LINETYPE	INST_NR	DATE_	PAYABLETOTAL	PAID	CANCELED	CANCELLATIONPAYMENT	CLIENTREF	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_AGREEMENT_ID	ABYS_MAIN_LREF	ABYS_ACTION_TYPE_ID	OV_KIND	REF_DEPOSIT_ACCOUNT_ID	REF_DEPOSIT_ACCOUNT_ACTION_ID	CASH_ID	RECEIPT_NUMBER
48561781	48561781	101	1	16638762	174	113	103	0	2010-09-07 00:00:00	15	0	0	0	251522	48561781	9673615	197168	16638762	33	PAY	\N	\N	531	240236149999
58196063	58196063	101	1	18380133	174	113	103	0	2011-06-16 00:00:00	115	0	0	0	251522	58196063	11412464	197168	18380133	33	PAY	\N	\N	540	0
40731962	40731962	101	1	18485369	174	113	103	0	2011-07-18 00:00:00	20	0	0	0	251522	40731962	11517615	197168	18485369	43	PAY	\N	\N	551	248669
58958224	58958224	101	1	19970087	174	113	103	0	2012-02-14 00:00:00	425	0	0	0	251522	58958224	13000681	197168	19970087	22	PAY	\N	\N	551	201169
42175491	42175491	101	1	20190743	174	113	103	0	2012-10-15 00:00:00	565	0	0	0	251522	42175491	13221074	197168	20190743	22	PAY	\N	\N	551	894046
50830067	50830067	101	1	20227726	174	113	103	0	2012-03-13 00:00:00	405	0	0	0	251522	50830067	13258024	197168	20227726	22	PAY	\N	\N	551	398217
42175490	42175490	101	1	21904363	174	113	103	0	2012-10-15 00:00:00	20	0	0	0	251522	42175490	14933170	197168	21904363	22	PAY	\N	\N	551	889029
42343634	42343634	101	1	22138057	174	113	103	0	2012-11-21 00:00:00	25	0	0	0	251522	42343634	15166687	197168	22138057	22	PAY	\N	\N	551	68351
43116139	43116139	101	1	23715324	174	113	103	0	2013-06-18 00:00:00	25	0	0	0	251522	43116139	16742819	197168	23715324	32	PAY	\N	\N	556	201306180386386
51628432	51628432	101	1	24002032	174	113	103	0	2013-08-03 00:00:00	20	0	0	0	251522	51628432	17029312	197168	24002032	32	PAY	\N	\N	541	3082
43820417	43820417	101	1	25534581	174	113	103	0	2013-12-05 00:00:00	50	0	0	0	251522	43820417	18560640	197168	25534581	32	PAY	\N	\N	541	15116
53139052	53139052	101	1	25853331	174	113	103	0	2014-03-20 00:00:00	380	0	0	0	251522	53139052	18879101	197168	25853331	32	PAY	\N	\N	541	293
51678945	51678945	101	1	27393939	174	113	103	0	2014-10-09 00:00:00	20	0	0	0	251522	51678945	20418681	197168	27393939	32	PAY	\N	\N	519	11371416
48357301	48357301	101	1	27537193	174	113	103	0	2014-11-20 00:00:00	15	0	0	0	251522	48357301	20561806	197168	27537193	32	PAY	\N	\N	519	12280632
45825012	45825012	101	1	29413665	174	113	103	0	2015-04-07 00:00:00	460	0	0	0	251522	45825012	22437159	197168	29413665	32	PAY	\N	\N	521	11872257821
58008942	58008942	101	1	30926441	174	113	103	0	2015-09-28 00:00:00	15	0	0	0	251522	58008942	23949084	197168	30926441	32	PAY	\N	\N	521	13103868512
46454345	46454345	101	1	31078567	174	113	103	0	2015-09-28 00:00:00	10	0	0	0	251522	46454345	24101103	197168	31078567	32	PAY	\N	\N	521	13103889578
46682254	46682254	101	1	31319919	174	113	103	0	2015-11-19 00:00:00	15	0	0	0	251522	46682254	24342297	197168	31319919	32	PAY	\N	\N	521	13486338616
57669008	57669008	101	1	32926055	174	113	103	0	2016-04-08 00:00:00	355	0	0	0	251522	57669008	25947411	197168	32926055	32	PAY	\N	\N	540	22270879
47516805	47516805	101	1	33124498	174	113	103	0	2016-06-19 00:00:00	275	0	0	0	251522	47516805	26145760	197168	33124498	32	PAY	\N	\N	528	419145
69704255	69704255	101	1	68668694	174	113	103	0	2017-05-08 10:23:59	358	0	0	0	251522	69704255	30263078	197168	68668694	32	PAY	\N	\N	528	2578332
49304862	49304862	101	1	16885098	174	113	103	0	2010-10-14 00:00:00	25	0	0	0	251522	49304862	9919545	197168	16885098	7	PAY	\N	\N	544	291500401552
40058427	40058427	101	1	17034950	174	113	103	0	2010-11-25 00:00:00	130	0	0	0	251522	40058427	10069228	197168	17034950	33	PAY	\N	\N	540	0
51528373	51528373	101	1	17111116	174	113	103	0	2010-12-22 00:00:00	95	0	0	0	251522	51528373	10145323	197168	17111116	33	PAY	\N	\N	531	240236169999
49332052	49332052	101	1	18746477	174	113	103	0	2011-08-16 00:00:00	20	0	0	0	251522	49332052	11778475	197168	18746477	33	PAY	\N	\N	531	240236179999
58944343	58944343	101	1	18849256	174	113	103	0	2011-09-23 00:00:00	15	0	0	0	251522	58944343	11881154	197168	18849256	22	PAY	\N	\N	551	185671
58944443	58944443	101	1	\N	33	113	103	0	2011-09-23 00:00:00	15	0	0	0	0	58944443	11881154	197168	\N	5	PAY	\N	\N	6	105019
41640821	41640821	101	1	20515715	174	113	103	0	2012-04-30 00:00:00	180	0	0	0	251522	41640821	13545776	197168	20515715	33	PAY	\N	\N	531	220036159999
41723051	41723051	101	1	20694535	33	113	103	0	2012-05-22 00:00:00	70	0	0	0	251522	41723051	13724458	197168	20694535	5	PAY	\N	\N	60	152289
48623211	48623211	101	1	20770139	174	113	103	0	2012-06-18 00:00:00	35	0	0	0	251522	48623211	13800010	197168	20770139	33	PAY	\N	\N	531	222236119999
42333918	42333918	101	1	22416150	174	113	103	0	2012-12-19 00:00:00	145	0	0	0	251522	42333918	15444569	197168	22416150	22	PAY	\N	\N	551	437868
42596505	42596505	101	1	22611802	174	113	103	0	2013-02-25 00:00:00	500	0	0	0	251522	42596505	15640062	197168	22611802	22	PAY	\N	\N	551	30322101
49395260	49395260	101	1	22636570	174	113	103	0	2013-03-13 00:00:00	295	0	0	0	251522	49395260	15664805	197168	22636570	22	PAY	\N	\N	551	2854601
54959127	54959127	101	1	24347929	174	113	103	0	2013-09-16 00:00:00	25	0	0	0	251522	54959127	17374918	197168	24347929	33	PAY	\N	\N	531	240236029999
44371927	44371927	101	1	26044775	174	113	103	0	2014-04-19 00:00:00	340	0	0	0	251522	44371927	19070407	197168	26044775	32	PAY	\N	\N	541	12902
59051045	59051045	101	1	26235680	174	113	103	0	2014-04-25 00:00:00	240	0	0	0	251522	59051045	19261180	197168	26235680	32	PAY	\N	\N	541	1932
45149432	45149432	101	1	28077379	174	113	103	0	2014-11-20 00:00:00	20	0	0	0	251522	45149432	21101581	197168	28077379	32	PAY	\N	\N	519	12280634
58360701	58360701	101	1	29684250	174	113	103	0	2015-05-26 00:00:00	375	0	0	0	251522	58360701	22707632	197168	29684250	32	PAY	\N	\N	521	12204406865
50233925	50233925	101	1	29848976	174	113	103	0	2015-06-22 00:00:00	130	0	0	0	251522	50233925	22872262	197168	29848976	32	PAY	\N	\N	521	12396542746
46739567	46739567	101	1	31518726	174	113	103	0	2015-12-17 00:00:00	150	0	0	0	251522	46739567	24540900	197168	31518726	32	PAY	\N	\N	521	13697442747
63947415	63947415	101	1	63947404	10	113	103	0	2016-08-15 15:53:13	13.51	0	0	0	251522	63947415	27888715	197168	63947404	6	MAHSUP	15640062	63947414	1	264225
63947417	63947417	101	1	63947404	10	113	103	0	2016-08-15 15:53:13	0.43	0	0	0	251522	63947417	27888715	197168	63947404	6	MAHSUP	27095066	63947416	1	264226
63947419	63947419	101	1	63947404	10	113	103	0	2016-08-15 15:53:13	14.57	0	0	0	251522	63947419	27888715	197168	63947404	6	MAHSUP	27095064	63947418	1	264247
65190622	65190622	101	1	63947404	174	113	103	0	2016-10-07 09:00:49	6.49	0	0	0	251522	65190622	27888715	197168	63947404	32	PAY	\N	\N	540	581677
68698922	68698922	101	1	66772613	174	113	103	0	2017-03-16 14:01:08	389	0	0	0	251522	68698922	29277372	197168	66772613	32	PAY	\N	\N	540	2120417
40345771	40345771	101	1	17424368	174	113	103	0	2011-02-28 00:00:00	350	0	0	0	251522	40345771	10458275	197168	17424368	7	PAY	\N	\N	544	291500102590
60940043	60940043	101	1	19115898	10	113	103	0	2011-10-11 13:57:26	9.9	0	0	0	251522	60940043	12147565	197168	19115898	6	MAHSUP	27095065	\N	1	893887
60940054	60940054	101	1	19444984	10	113	103	0	2011-11-14 10:48:40	5.1	0	0	0	251522	60940054	12476283	197168	19444984	6	MAHSUP	27095065	\N	1	893898
60940061	60940061	101	1	19444984	10	113	103	0	2011-11-14 10:48:40	15	0	0	0	251522	60940061	12476283	197168	19444984	6	MAHSUP	11881154	\N	1	893900
52670293	52670293	101	1	19444984	174	113	103	0	2011-12-02 00:00:00	280	0	0	0	251522	52670293	12476283	197168	19444984	33	PAY	\N	\N	531	240236199999
57502461	57502461	101	1	21077498	174	113	103	0	2012-07-25 00:00:00	20	0	0	0	251522	57502461	14107128	197168	21077498	22	PAY	\N	\N	551	572250
50522704	50522704	101	1	24550658	174	113	103	0	2013-10-11 00:00:00	15	0	0	0	251522	50522704	17577484	197168	24550658	33	PAY	\N	\N	531	240236189999
50164553	50164553	101	1	24646736	174	113	103	0	2013-12-05 00:00:00	20	0	0	0	251522	50164553	17673501	197168	24646736	32	PAY	\N	\N	541	15092
56101083	56101083	101	1	26580179	174	113	103	0	2014-06-21 00:00:00	105	0	0	0	251522	56101083	19605461	197168	26580179	32	PAY	\N	\N	528	403052
44525016	44525016	101	1	26777924	174	113	103	0	2014-06-21 00:00:00	20	0	0	0	251522	44525016	19803104	197168	26777924	32	PAY	\N	\N	528	400159
45288648	45288648	101	1	28350953	174	113	103	0	2014-12-18 00:00:00	135	0	0	0	251522	45288648	21375002	197168	28350953	32	PAY	\N	\N	519	12881076
50211452	50211452	101	1	28544306	174	113	103	0	2015-01-19 00:00:00	325	0	0	0	251522	50211452	21568240	197168	28544306	32	PAY	\N	\N	521	11314710049
54309304	54309304	101	1	30257868	174	113	103	0	2015-07-27 00:00:00	20	0	0	0	251522	54309304	23280943	197168	30257868	32	PAY	\N	\N	521	12649235499
55415851	55415851	101	1	30318369	174	113	103	0	2015-07-27 00:00:00	20	0	0	0	251522	55415851	23341407	197168	30318369	32	PAY	\N	\N	521	12649245027
54693471	54693471	101	1	31997813	174	113	103	0	2015-12-17 00:00:00	265	0	0	0	251522	54693471	25019685	197168	31997813	32	PAY	\N	\N	521	13697446477
46994896	46994896	101	1	32276365	174	113	103	0	2016-02-18 00:00:00	520	0	0	0	251522	46994896	25298027	197168	32276365	32	PAY	\N	\N	540	21490147
