EKS_ACTION_ID	ACCOUNT_ID	EKS_DATE	EKS_USER_ID	EKS_AMT	TAH_AMT	KIND	MAIN_LREF	MAIN_ACTION_ID	AGREEMENT_ID	CLIENTREF	OWNERREF	OWNERTYPE	CURID	FITNO	BN_TYPE	MAIN_AMOUNT	PERIOD	HAS_DISCOUNT	DISCOUNT_AMOUNT	MAIN_TLTOTAL	MAIN_TAX	MAIN_GRANDTOTAL	MAIN_PAYABLETOTAL	MAIN_TYPE	MAIN_FICHENO	MAIN_DATE	MAIN_DUEDATE
63779460	15406507	2016-08-10 21:39:24	1	248.34	11069.3	KISMI	22378062	22378062	2221	48214	2221	91	160	24362	1	11065	201301	0	0	9378.72	1686.28	11065	11065	119	A102259	2013-01-09 11:18:40	2013-01-17 00:00:00
63284412	15547741	2016-07-29 23:54:32	1	6.54	237.94	KISMI	22519405	22519405	5727	6879	5727	91	160	30030	1	230	201301	0	0	194.31	35.69	230	230	119	A203889	2013-01-16 10:09:34	2013-01-24 00:00:00
67481968	29622585	2017-01-19 11:33:16	211	112.96	112.96	TAM	67447792	67447792	5727	6879	5727	91	160	30030	1	112	201701	0	0	94.84	17.16	112	112	119	B483177	2017-01-18 12:58:55	2017-01-25 00:00:00
74030553	33055083	2017-11-18 14:48:40	211	6.79	6.79	TAM	74030551	74030551	5727	6879	5727	91	160	30030	1	6.79	201711	0	0	5.76	1.03	6.79	6.79	119	\N	2017-11-18 14:47:47	2017-11-28 00:00:00
74030273	33055009	2017-11-18 11:47:28	211	16.85	16.85	TAM	74030265	74030265	5727	6879	5727	91	160	30030	1	16.53	201711	0	0	13.99	2.54	16.53	16.53	119	\N	2017-11-18 11:36:30	2017-11-28 00:00:00
74030584	33055097	2017-11-18 14:51:15	211	6.79	6.79	TAM	74030576	74030576	5727	6879	5727	91	160	30030	1	6.79	201711	0	0	5.76	1.03	6.79	6.79	119	\N	2017-11-18 14:50:37	2017-11-28 00:00:00
76361588	34202546	2018-03-04 16:47:41	211	116	116	TAM	76361587	76361587	5727	6879	5727	91	160	30030	1	116	201803	0	0	98.34	17.66	116	116	119	\N	2018-03-04 15:42:45	2018-03-14 00:00:00
76361596	34202548	2018-03-04 16:56:29	211	118.13	118.13	TAM	76361590	76361590	5727	6879	5727	91	160	30030	1	118.13	201803	0	0	100.47	17.66	118.13	118.13	119	\N	2018-03-04 16:48:11	2018-03-14 00:00:00
76361601	34202552	2018-03-04 17:35:17	211	188.93	188.93	TAM	76361600	76361600	5727	6879	5727	91	160	30030	1	188.93	201803	0	0	160.47	28.46	188.93	188.93	119	\N	2018-03-04 17:32:28	2018-03-14 00:00:00
89640308	41154888	2019-09-26 01:58:41	211	5.45	5.45	TAM	89640248	89640248	5727	6879	5727	91	160	30030	1	5.45	201909	0	0	4.69	0.76	5.45	5.45	119	IZ12019000000001	2019-09-26 00:31:16	2019-10-07 00:00:00
89640255	41154894	2019-09-26 02:42:34	211	5.02	5.02	TAM	89640254	89640254	5727	6879	5727	91	160	30030	1	5.02	201909	0	0	4.26	0.76	5.02	5.02	119	IZ12019000000002	2019-09-26 02:30:40	2019-10-07 00:00:00
116745295	55169583	2022-10-07 23:58:34	211	735.02	735.02	TAM	116745294	116745294	5727	6879	5727	91	160	30030	1	735.02	202210	0	0	622.9	112.12	735.02	735.02	119	IZ12022000035820	2022-10-07 23:54:35	2022-10-17 00:00:00
116777475	55169586	2022-10-10 10:28:11	211	198.76	198.76	TAM	116745395	116745395	5727	6879	5727	91	160	30030	1	198.76	202210	0	0	168.46	30.3	198.76	198.76	119	IZ12022000035821	2022-10-08 02:11:20	2022-10-18 00:00:00
76361595	34202550	2018-03-04 16:55:38	211	76.91	76.91	TAM	76361594	76361594	5727	6879	5727	91	160	30030	1	76.91	201803	0	0	65.18	11.73	76.91	76.91	119	\N	2018-03-04 16:53:58	2018-03-14 00:00:00
123121756	58680626	2023-06-21 22:25:28	211	123	123	TAM	123121467	123121467	5727	6879	5727	91	160	30030	1	123	202306	0	0	123	0	123	123	109	IZ22023000017494	2023-06-21 21:18:42	2023-07-03 00:00:00
63338506	15640062	2016-07-29 23:58:32	1	13.51	502.36	KISMI	22611802	22611802	197168	251522	197168	91	160	136283	1	500	201301	0	0	423.86	76.14	500	500	119	A170833	2013-01-13 16:40:36	2013-01-21 00:00:00
18058764	11091398	2011-05-11 00:00:00	211	298.74	298.74	TAM	18058763	18058763	197168	251522	197168	91	160	136283	1	295	201105	0	0	249.85	45.15	295	295	119	A863454	2011-05-07 12:18:55	2011-05-16 00:00:00
123240339	58522082	2023-07-02 18:58:50	211	472.15	472.15	TAM	122868581	122868581	197168	251522	197168	91	160	136283	1	243.47	202306	1	114.34	206.34	37.13	243.47	243.47	119	IZ12023000016464	2023-06-13 02:38:56	2023-06-23 00:00:00
67004253	29336734	2016-12-29 12:27:13	211	44.68	44.68	TAM	66932162	66932162	197168	251522	197168	91	160	136283	1	44	201612	0	0	37.24	6.76	44	44	119	I76104	2016-12-22 12:20:44	2016-12-29 00:00:00
