LREF	IOCODE	FICHENO	DATE_	DUEDATE	TYPE	CLIENTREF	TLTOTAL	CURID	CURTOTAL	EXPLAIN	CANCELED	OWNERREF	OWNERTYPE	TAX	DV	GRANDTOTAL	PRINTCOUNT	PAYABLETOTAL	CLOSED	RETURN_SOURCE_INVREF	RETURN_TARGET_INVREF	FITNO	BN_TYPE	AMOUNT	PERIOD	HAS_DISCOUNT	DISCOUNT_AMOUNT	ADDDATE	ADDUSER	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_ACTION_TYPE_ID	ABYS_AGREEMENT_ID	ABYS_MAIN_LREF	ABYS_EKS_ACTION_ID	OV_KIND
1667481968	1	I7481968	2017-01-19 11:33:16	2017-01-25 00:00:00	92	6879	94.84	160	112	IADE FATURASI	0	5727	91	17.16	0	112	0	112	1	67447792	\N	30030	1	112	201701	0	0	2017-01-19 11:33:16	211	67481968	29622585	2	5727	67447792	67481968	IADE
1674030553	1	I4030553	2017-11-18 14:48:40	2017-11-28 00:00:00	92	6879	5.76	160	6.79	IADE FATURASI	0	5727	91	1.03	0	6.79	0	6.79	1	74030551	\N	30030	1	6.79	201711	0	0	2017-11-18 14:48:40	211	74030553	33055083	2	5727	74030551	74030553	IADE
1674030273	1	I4030273	2017-11-18 11:47:28	2017-11-28 00:00:00	92	6879	13.99	160	16.53	IADE FATURASI	0	5727	91	2.54	0	16.53	0	16.53	1	74030265	\N	30030	1	16.53	201711	0	0	2017-11-18 11:47:28	211	74030273	33055009	2	5727	74030265	74030273	IADE
1674030584	1	I4030584	2017-11-18 14:51:15	2017-11-28 00:00:00	92	6879	5.76	160	6.79	IADE FATURASI	0	5727	91	1.03	0	6.79	0	6.79	1	74030576	\N	30030	1	6.79	201711	0	0	2017-11-18 14:51:15	211	74030584	33055097	2	5727	74030576	74030584	IADE
1676361588	1	I6361588	2018-03-04 16:47:41	2018-03-14 00:00:00	92	6879	98.34	160	116	IADE FATURASI	0	5727	91	17.66	0	116	0	116	1	76361587	\N	30030	1	116	201803	0	0	2018-03-04 16:47:41	211	76361588	34202546	2	5727	76361587	76361588	IADE
1676361596	1	I6361596	2018-03-04 16:56:29	2018-03-14 00:00:00	92	6879	100.47	160	118.13	IADE FATURASI	0	5727	91	17.66	0	118.13	0	118.13	1	76361590	\N	30030	1	118.13	201803	0	0	2018-03-04 16:56:29	211	76361596	34202548	2	5727	76361590	76361596	IADE
1676361601	1	I6361601	2018-03-04 17:35:17	2018-03-14 00:00:00	92	6879	160.47	160	188.93	IADE FATURASI	0	5727	91	28.46	0	188.93	0	188.93	1	76361600	\N	30030	1	188.93	201803	0	0	2018-03-04 17:35:17	211	76361601	34202552	2	5727	76361600	76361601	IADE
1689640308	1	I9640308	2019-09-26 01:58:41	2019-10-07 00:00:00	92	6879	4.69	160	5.45	IADE FATURASI	0	5727	91	0.76	0	5.45	0	5.45	1	89640248	\N	30030	1	5.45	201909	0	0	2019-09-26 01:58:41	211	89640308	41154888	2	5727	89640248	89640308	IADE
1689640255	1	I9640255	2019-09-26 02:42:34	2019-10-07 00:00:00	92	6879	4.26	160	5.02	IADE FATURASI	0	5727	91	0.76	0	5.02	0	5.02	1	89640254	\N	30030	1	5.02	201909	0	0	2019-09-26 02:42:34	211	89640255	41154894	2	5727	89640254	89640255	IADE
1716745295	1	I6745295	2022-10-07 23:58:34	2022-10-17 00:00:00	92	6879	622.9	160	735.02	IADE FATURASI	0	5727	91	112.12	0	735.02	0	735.02	1	116745294	\N	30030	1	735.02	202210	0	0	2022-10-07 23:58:34	211	116745295	55169583	2	5727	116745294	116745295	IADE
1716777475	1	I6777475	2022-10-10 10:28:11	2022-10-18 00:00:00	92	6879	168.46	160	198.76	IADE FATURASI	0	5727	91	30.3	0	198.76	0	198.76	1	116745395	\N	30030	1	198.76	202210	0	0	2022-10-10 10:28:11	211	116777475	55169586	2	5727	116745395	116777475	IADE
1676361595	1	I6361595	2018-03-04 16:55:38	2018-03-14 00:00:00	92	6879	65.18	160	76.91	IADE FATURASI	0	5727	91	11.73	0	76.91	0	76.91	1	76361594	\N	30030	1	76.91	201803	0	0	2018-03-04 16:55:38	211	76361595	34202550	2	5727	76361594	76361595	IADE
1723121756	1	I3121756	2023-06-21 22:25:28	2023-07-03 00:00:00	92	6879	123	160	123	IADE FATURASI	0	5727	91	0	0	123	0	123	1	123121467	\N	30030	1	123	202306	0	0	2023-06-21 22:25:28	211	123121756	58680626	2	5727	123121467	123121756	IADE
1618058764	1	I8058764	2011-05-11 00:00:00	2011-05-16 00:00:00	92	251522	249.85	160	295	IADE FATURASI	0	197168	91	45.15	0	295	0	295	1	18058763	\N	136283	1	295	201105	0	0	2011-05-11 00:00:00	211	18058764	11091398	2	197168	18058763	18058764	IADE
1723240339	1	I3240339	2023-07-02 18:58:50	2023-06-23 00:00:00	92	251522	206.34	160	243.47	IADE FATURASI	0	197168	91	37.13	0	243.47	0	243.47	1	122868581	\N	136283	1	243.47	202306	1	114.34	2023-07-02 18:58:50	211	123240339	58522082	2	197168	122868581	123240339	IADE
1667004253	1	I7004253	2016-12-29 12:27:13	2016-12-29 00:00:00	92	251522	37.24	160	44	IADE FATURASI	0	197168	91	6.76	0	44	0	44	1	66932162	\N	136283	1	44	201612	0	0	2016-12-29 12:27:13	211	67004253	29336734	2	197168	66932162	67004253	IADE
