MAIN_LREF	ABYS_AGREEMENT_ID	CLOSED	MAHSUP_AMT	BANK_AMT	MAHSUP_CNT	CLOSE_KIND	DEP_ACCOUNT_ID	DEP_ACTION_ID	DEP_MAIN_CNT	EXPLAIN_MARK	DETAIL	OV_KIND
49747797	276503	1	22.5	22.5	1	MIXED	27047596	\N	2	MAHSUP+TAHSILAT KAPAMA	Mahsup=22,5 Bank=22,5 DepAcc=27047596 (ayni emanet->2 fatura)	MAHSUP_CLOSED
63984619	5727	1	6.54	9.76	1	MIXED	15547741	63984624	1	MAHSUP+TAHSILAT KAPAMA	Mahsup=6,54 Bank=9,76 DepAcc=15547741 (ayni emanet->1 fatura)	MAHSUP_CLOSED
66047848	2221	1	248.34	2036.66	1	MIXED	15406507	66047849	1	MAHSUP+TAHSILAT KAPAMA	Mahsup=248,34 Bank=2036,66 DepAcc=15406507 (ayni emanet->1 fatura)	MAHSUP_CLOSED
19115898	197168	1	9.9	0	1	MAHSUP_ONLY	27095065	\N	2	MAHSUP KAPAMA	Mahsup=9,9 Bank=0 DepAcc=27095065 (ayni emanet->2 fatura)	MAHSUP_CLOSED
20257454	276503	1	246.28	0	1	MAHSUP_ONLY	13841039	\N	5	MAHSUP KAPAMA	Mahsup=246,28 Bank=0 DepAcc=13841039 (ayni emanet->5 fatura)	MAHSUP_CLOSED
19733171	276503	1	202.77	84.19	1	MIXED	13841039	\N	5	MAHSUP+TAHSILAT KAPAMA	Mahsup=202,77 Bank=84,19 DepAcc=13841039 (ayni emanet->5 fatura)	MAHSUP_CLOSED
20622609	276503	1	98.05	0	1	MAHSUP_ONLY	13841039	\N	5	MAHSUP KAPAMA	Mahsup=98,05 Bank=0 DepAcc=13841039 (ayni emanet->5 fatura)	MAHSUP_CLOSED
72656434	556305	1	22	0	1	MAHSUP_ONLY	32602009	73159851	2	MAHSUP KAPAMA	Mahsup=22 Bank=0 DepAcc=32602009 (ayni emanet->2 fatura)	MAHSUP_CLOSED
20360857	276503	1	160.86	0	1	MAHSUP_ONLY	13841039	\N	5	MAHSUP KAPAMA	Mahsup=160,86 Bank=0 DepAcc=13841039 (ayni emanet->5 fatura)	MAHSUP_CLOSED
123745231	197168	1	243.47	61.58	3	MIXED	58522082	123745232	1	MAHSUP+TAHSILAT KAPAMA	Mahsup=243,47 Bank=61,58 DepAcc=58522082 (ayni emanet->1 fatura)	MAHSUP_CLOSED
19444984	197168	1	20.1	280	2	MIXED	27095065	\N	2	MAHSUP+TAHSILAT KAPAMA	Mahsup=20,1 Bank=280 DepAcc=27095065 (ayni emanet->2 fatura)	MAHSUP_CLOSED
63947404	197168	1	32.03	6.49	3	MIXED	27095064	63947418	1	MAHSUP+TAHSILAT KAPAMA	Mahsup=32,03 Bank=6,49 DepAcc=27095064 (ayni emanet->1 fatura)	MAHSUP_CLOSED
20133086	276503	1	385.44	0	1	MAHSUP_ONLY	13841039	\N	5	MAHSUP KAPAMA	Mahsup=385,44 Bank=0 DepAcc=13841039 (ayni emanet->5 fatura)	MAHSUP_CLOSED
20811205	276503	1	11.6	0	1	MAHSUP_ONLY	27047596	\N	2	MAHSUP KAPAMA	Mahsup=11,6 Bank=0 DepAcc=27047596 (ayni emanet->2 fatura)	MAHSUP_CLOSED
73159848	556305	1	11.7	0	1	MAHSUP_ONLY	32602009	73159854	2	MAHSUP KAPAMA	Mahsup=11,7 Bank=0 DepAcc=32602009 (ayni emanet->2 fatura)	MAHSUP_CLOSED
