LREF	IOCODE	FICHENO	DATE_	DUEDATE	TYPE	CLIENTREF	TLTOTAL	CURID	CURTOTAL	EXPLAIN	CANCELED	OWNERREF	OWNERTYPE	TAX	DV	GRANDTOTAL	PRINTCOUNT	PAYABLETOTAL	CLOSED	FITNO	BN_TYPE	AMOUNT	PERIOD	ADDDATE	ADDUSER	ABYS_ID	ABYS_ACCOUNT_ID	ABYS_ACTION_TYPE_ID	ABYS_AGREEMENT_ID	ABYS_MAIN_LREF	OV_KIND
34731473	1	TAHSILAT	2009-03-10 00:00:00	2009-03-10 00:00:00	101	251522	246	160	246	\N	0	197168	91	0	0	246	0	246	1	136283	1	246	200903	2009-03-10 00:00:00	10195	34731473	570480	4	197168	468800	TAH_INV
34943669	1	TAHSILAT	2011-05-17 00:00:00	2011-05-17 00:00:00	101	306082	311	160	311	\N	0	276503	91	0	0	311	0	311	1	316217	1	311	201105	2011-05-17 00:00:00	10144	34943669	853989	4	276503	661450	TAH_INV
34984326	1	TAHSILAT	2011-10-20 00:00:00	2011-10-20 00:00:00	101	306082	11	160	11	\N	0	276503	91	0	0	11	0	11	1	316217	1	11	201110	2011-10-20 00:00:00	10090	34984326	899639	4	276503	702889	TAH_INV
35080081	1	TAHSILAT	2013-01-16 00:00:00	2013-01-16 00:00:00	101	306082	200	160	200	\N	0	276503	91	0	0	200	0	200	1	316217	1	200	201301	2013-01-16 00:00:00	10144	35080081	998085	4	276503	800106	TAH_INV
35080082	1	TAHSILAT	2013-01-16 00:00:00	2013-01-16 00:00:00	101	306082	41.45	160	41.45	\N	0	276503	91	0	0	41.45	0	41.45	1	316217	1	41.45	201301	2013-01-16 00:00:00	10144	35080082	998086	4	276503	800107	TAH_INV
35315774	1	TAHSILAT	2002-04-09 00:00:00	2002-04-09 00:00:00	101	6879	30	160	30	\N	0	5727	91	0	0	30	0	30	1	30030	1	30	200204	2002-04-09 00:00:00	10211	35315774	26833591	4	5727	35315773	TAH_INV
35356494	1	TAHSILAT	2000-11-28 00:00:00	2000-11-28 00:00:00	101	48214	2520	160	2520	\N	0	2221	91	0	0	2520	0	2520	1	24362	1	2520	200011	2000-11-28 00:00:00	10022	35356494	26853951	4	2221	35356493	TAH_INV
35892386	1	TAHSILAT	2004-03-22 00:00:00	2004-03-22 00:00:00	101	6879	48.18	160	48.18	\N	0	5727	91	0	0	48.18	0	48.18	1	30030	1	48.18	200403	2004-03-22 00:00:00	10136	35892386	1697841	7	5727	8610521	TAH_INV
35903044	1	TAHSILAT	2004-12-16 00:00:00	2004-12-16 00:00:00	101	48214	2450.84	160	2450.84	\N	0	2221	91	0	0	2450.84	0	2450.84	1	24362	1	2450.84	200412	2004-12-16 00:00:00	10001	35903044	1258730	7	2221	8170377	TAH_INV
35924390	1	TAHSILAT	2004-11-23 00:00:00	2004-11-23 00:00:00	101	6879	13.56	160	13.56	\N	0	5727	91	0	0	13.56	0	13.56	1	30030	1	13.56	200411	2004-11-23 00:00:00	10048	35924390	1301161	7	5727	8212936	TAH_INV
36009427	1	TAHSILAT	2004-07-27 00:00:00	2004-07-27 00:00:00	101	6879	8.61	160	8.61	\N	0	5727	91	0	0	8.61	0	8.61	1	30030	1	8.61	200407	2004-07-27 00:00:00	10048	36009427	1494398	7	5727	8406681	TAH_INV
36056095	1	TAHSILAT	2004-03-16 00:00:00	2004-03-16 00:00:00	101	48214	2730.67	160	2730.67	\N	0	2221	91	0	0	2730.67	0	2730.67	1	24362	1	2730.67	200403	2004-03-16 00:00:00	10001	36056095	3488489	7	2221	10407024	TAH_INV
36084553	1	TAHSILAT	2004-02-27 00:00:00	2004-02-27 00:00:00	101	6879	70.34	160	70.34	\N	0	5727	91	0	0	70.34	0	70.34	1	30030	1	70.34	200402	2004-02-27 00:00:00	10031	36084553	1889275	4	5727	8802265	TAH_INV
36090783	1	TAHSILAT	2003-02-18 00:00:00	2003-02-18 00:00:00	101	6879	0.38	160	0.38	\N	0	5727	91	0	0	0.38	0	0.38	1	30030	1	0.38	200301	2003-02-18 00:00:00	10031	36090783	1536886	4	5727	8449236	TAH_INV
36092282	1	TAHSILAT	2003-01-28 00:00:00	2003-01-28 00:00:00	101	48214	6033.73	160	6033.73	\N	0	2221	91	0	0	6033.73	0	6033.73	1	24362	1	6033.73	200301	2003-01-28 00:00:00	10199	36092282	1533659	4	2221	8445999	TAH_INV
36094467	1	TAHSILAT	2003-02-06 00:00:00	2003-02-06 00:00:00	101	48214	486.78	160	486.78	\N	0	2221	91	0	0	486.78	0	486.78	1	24362	1	486.78	200301	2003-02-06 00:00:00	10199	36094467	1533659	4	2221	8445999	TAH_INV
36094688	1	TAHSILAT	2004-02-20 00:00:00	2004-02-20 00:00:00	101	48214	4325.91	160	4325.91	\N	0	2221	91	0	0	4325.91	0	4325.91	1	24362	1	4325.91	200402	2004-02-20 00:00:00	10001	36094688	1878094	7	2221	8791067	TAH_INV
36124560	1	TAHSILAT	2004-01-19 00:00:00	2004-01-19 00:00:00	101	48214	3522.65	160	3522.65	\N	0	2221	91	0	0	3522.65	0	3522.65	1	24362	1	3522.65	200401	2004-01-19 00:00:00	10047	36124560	1834557	7	2221	8747460	TAH_INV
36131524	1	TAHSILAT	2004-01-26 00:00:00	2004-01-26 00:00:00	101	6879	62.32	160	62.32	\N	0	5727	91	0	0	62.32	0	62.32	1	30030	1	62.32	200401	2004-01-26 00:00:00	10048	36131524	1852418	7	5727	8765345	TAH_INV
36156430	1	TAHSILAT	2002-11-22 00:00:00	2002-11-22 00:00:00	101	48214	652.97	160	652.97	\N	0	2221	91	0	0	652.97	0	652.97	1	24362	1	652.97	200211	2002-11-22 00:00:00	10199	36156430	1459750	7	2221	8371893	TAH_INV
36176025	1	TAHSILAT	2004-05-17 00:00:00	2004-05-17 00:00:00	101	6879	15.95	160	15.95	\N	0	5727	91	0	0	15.95	0	15.95	1	30030	1	15.95	200405	2004-05-17 00:00:00	10136	36176025	1576991	7	5727	8489418	TAH_INV
36185984	1	TAHSILAT	2004-05-18 00:00:00	2004-05-18 00:00:00	101	48214	1192.3	160	1192.3	\N	0	2221	91	0	0	1192.3	0	1192.3	1	24362	1	1192.3	200405	2004-05-18 00:00:00	10031	36185984	1563770	7	2221	8476178	TAH_INV
36208065	1	TAHSILAT	2003-06-17 00:00:00	2003-06-17 00:00:00	101	48214	728	160	728	\N	0	2221	91	0	0	728	0	728	1	24362	1	728	200305	2003-06-17 00:00:00	10031	36208065	1775590	4	2221	8688394	TAH_INV
