LOG_ID	REASON	SEVERITY	PAY_LREF	MAIN_LREF	ACCOUNT_ID	AGREEMENT_ID	ACTION_TYPE_ID	PAYABLETOTAL	PAID_AMT	DETAIL	OV_KIND
1	DEBT_PARTIAL	INFO	\N	15297465	\N	2221	\N	3915	176	PAID < PAYABLE - CLOSED=0	TAH_LOG
2	DEBT_PARTIAL	INFO	\N	15421141	\N	2221	\N	6225	435	PAID < PAYABLE - CLOSED=0	TAH_LOG
3	DEBT_PARTIAL	INFO	\N	15617697	\N	2221	\N	7485	185	PAID < PAYABLE - CLOSED=0	TAH_LOG
4	DEBT_PARTIAL	INFO	\N	15772737	\N	2221	\N	4855	200	PAID < PAYABLE - CLOSED=0	TAH_LOG
5	DEBT_PARTIAL	INFO	\N	15961029	\N	2221	\N	5355	755	PAID < PAYABLE - CLOSED=0	TAH_LOG
6	DEBT_PARTIAL	INFO	\N	17149298	\N	2221	\N	2550	250	PAID < PAYABLE - CLOSED=0	TAH_LOG
7	DEBT_PARTIAL	INFO	\N	17243275	\N	2221	\N	3750	550	PAID < PAYABLE - CLOSED=0	TAH_LOG
8	DEBT_PARTIAL	INFO	\N	17323170	\N	2221	\N	7150	625	PAID < PAYABLE - CLOSED=0	TAH_LOG
9	DEBT_PARTIAL	INFO	\N	17553766	\N	2221	\N	7755	755	PAID < PAYABLE - CLOSED=0	TAH_LOG
10	DEBT_PARTIAL	INFO	\N	17887155	\N	2221	\N	8295	595	PAID < PAYABLE - CLOSED=0	TAH_LOG
11	DEBT_PARTIAL	INFO	\N	17999680	\N	2221	\N	5200	445	PAID < PAYABLE - CLOSED=0	TAH_LOG
12	DEBT_PARTIAL	INFO	\N	18277190	\N	2221	\N	3975	500	PAID < PAYABLE - CLOSED=0	TAH_LOG
13	DEBT_PARTIAL	INFO	\N	19383145	\N	2221	\N	7705	955	PAID < PAYABLE - CLOSED=0	TAH_LOG
14	DEBT_PARTIAL	INFO	\N	19677953	\N	2221	\N	7510	900	PAID < PAYABLE - CLOSED=0	TAH_LOG
15	DEBT_PARTIAL	INFO	\N	19701495	\N	276503	\N	185.81	99.23	PAID < PAYABLE - CLOSED=0	TAH_LOG
16	DEBT_PARTIAL	INFO	\N	19901375	\N	2221	\N	9840	1840	PAID < PAYABLE - CLOSED=0	TAH_LOG
17	DEBT_PARTIAL	INFO	\N	20132980	\N	2221	\N	11695	3695	PAID < PAYABLE - CLOSED=0	TAH_LOG
18	DEBT_PARTIAL	INFO	\N	20467009	\N	2221	\N	5225	1000	PAID < PAYABLE - CLOSED=0	TAH_LOG
19	DEBT_PARTIAL	INFO	\N	152016939	\N	1192595	\N	1362	681.88	PAID < PAYABLE - CLOSED=0	TAH_LOG
20	DEBT_PARTIAL	INFO	\N	152185118	\N	978259	\N	50186	12546.92	PAID < PAYABLE - CLOSED=0	TAH_LOG
21	DEP_ACCRUE_ODD	INFO	60940061	19444984	12476283	197168	6	15	\N	Mahsup DepAcc=11881154 ACCRUE=1 (beklenen 14)	TAH_LOG
22	DEP_ACCRUE_ODD	INFO	62417583	19733171	12764076	276503	6	202.77	\N	Mahsup DepAcc=13841039 ACCRUE=1 (beklenen 14)	TAH_LOG
23	DEP_ACCRUE_ODD	INFO	62417585	20133086	13163561	276503	6	385.44	\N	Mahsup DepAcc=13841039 ACCRUE=1 (beklenen 14)	TAH_LOG
24	DEP_ACCRUE_ODD	INFO	62417587	20257454	13287732	276503	6	246.28	\N	Mahsup DepAcc=13841039 ACCRUE=1 (beklenen 14)	TAH_LOG
25	DEP_ACCRUE_ODD	INFO	62417589	20360857	13391048	276503	6	160.86	\N	Mahsup DepAcc=13841039 ACCRUE=1 (beklenen 14)	TAH_LOG
26	DEP_ACCRUE_ODD	INFO	62417591	20622609	13652578	276503	6	98.05	\N	Mahsup DepAcc=13841039 ACCRUE=1 (beklenen 14)	TAH_LOG
27	DEP_ACCRUE_ODD	INFO	63947415	63947404	27888715	197168	6	13.51	\N	Mahsup DepAcc=15640062 ACCRUE=1 (beklenen 14)	TAH_LOG
28	DEP_ACCRUE_ODD	INFO	63984625	63984619	27898820	5727	6	6.54	\N	Mahsup DepAcc=15547741 ACCRUE=1 (beklenen 14)	TAH_LOG
29	DEP_ACCRUE_ODD	INFO	66047850	66047848	28904085	2221	6	248.34	\N	Mahsup DepAcc=15406507 ACCRUE=1 (beklenen 14)	TAH_LOG
30	DEP_ACCRUE_ODD	INFO	123745233	123745231	59106222	197168	6	202.07	\N	Mahsup DepAcc=58522082 ACCRUE=2 (beklenen 14)	TAH_LOG
31	DEP_ACCRUE_ODD	INFO	124224614	123745231	59106222	197168	6	41.3	\N	Mahsup DepAcc=58522082 ACCRUE=2 (beklenen 14)	TAH_LOG
32	EMANET_CIKIS_MATCH	WARN	63947414	\N	15640062	197168	12	13.51	\N	Tip12 borc INCOME eslesmesi var - overlay dahil edilmedi DepAcc=27888715	TAH_LOG
33	EMANET_CIKIS_MATCH	WARN	63984624	\N	15547741	5727	12	6.54	\N	Tip12 borc INCOME eslesmesi var - overlay dahil edilmedi DepAcc=27898820	TAH_LOG
34	EMANET_CIKIS_MATCH	WARN	66047849	\N	15406507	2221	12	248.34	\N	Tip12 borc INCOME eslesmesi var - overlay dahil edilmedi DepAcc=28904085	TAH_LOG
35	EMANET_CIKIS_MATCH	WARN	123240341	\N	58522082	197168	12	0.1	\N	Tip12 borc INCOME eslesmesi var - overlay dahil edilmedi DepAcc=58750448	TAH_LOG
36	EMANET_CIKIS_MATCH	WARN	123745232	\N	58522082	197168	12	202.07	\N	Tip12 borc INCOME eslesmesi var - overlay dahil edilmedi DepAcc=59106222	TAH_LOG
37	EMANET_CIKIS_MATCH	WARN	124224613	\N	58522082	197168	12	41.3	\N	Tip12 borc INCOME eslesmesi var - overlay dahil edilmedi DepAcc=59106222	TAH_LOG
38	EMANET_CIKIS_SKIP	WARN	60940063	\N	11881154	197168	12	15	\N	Tip12 emanet cikisi overlay disi DepAcc=12476283	TAH_LOG
39	EMANET_CIKIS_SKIP	WARN	62417584	\N	13841039	276503	12	202.77	\N	Tip12 emanet cikisi overlay disi DepAcc=12764076	TAH_LOG
40	EMANET_CIKIS_SKIP	WARN	62417586	\N	13841039	276503	12	385.44	\N	Tip12 emanet cikisi overlay disi DepAcc=13163561	TAH_LOG
41	EMANET_CIKIS_SKIP	WARN	62417588	\N	13841039	276503	12	246.28	\N	Tip12 emanet cikisi overlay disi DepAcc=13287732	TAH_LOG
42	EMANET_CIKIS_SKIP	WARN	62417590	\N	13841039	276503	12	160.86	\N	Tip12 emanet cikisi overlay disi DepAcc=13391048	TAH_LOG
43	EMANET_CIKIS_SKIP	WARN	62417592	\N	13841039	276503	12	98.05	\N	Tip12 emanet cikisi overlay disi DepAcc=13652578	TAH_LOG
44	EMANET_CIKIS_SKIP	WARN	63947414	\N	15640062	197168	12	13.51	\N	Tip12 emanet cikisi overlay disi DepAcc=27888715	TAH_LOG
45	EMANET_CIKIS_SKIP	WARN	63984624	\N	15547741	5727	12	6.54	\N	Tip12 emanet cikisi overlay disi DepAcc=27898820	TAH_LOG
46	EMANET_CIKIS_SKIP	WARN	66047849	\N	15406507	2221	12	248.34	\N	Tip12 emanet cikisi overlay disi DepAcc=28904085	TAH_LOG
47	EMANET_CIKIS_SKIP	WARN	123240341	\N	58522082	197168	12	0.1	\N	Tip12 emanet cikisi overlay disi DepAcc=58750448 DepAct=123240340	TAH_LOG
48	EMANET_CIKIS_SKIP	WARN	123745232	\N	58522082	197168	12	202.07	\N	Tip12 emanet cikisi overlay disi DepAcc=59106222	TAH_LOG
49	EMANET_CIKIS_SKIP	WARN	124224613	\N	58522082	197168	12	41.3	\N	Tip12 emanet cikisi overlay disi DepAcc=59106222	TAH_LOG
50	EMANET_MULTI_MAIN	INFO	\N	19115898	\N	197168	\N	9.9	0	Ayni emanet DepAcc=27095065 > 2 fatura - Close=MAHSUP_ONLY	TAH_LOG
51	EMANET_MULTI_MAIN	INFO	\N	19444984	\N	197168	\N	20.1	280	Ayni emanet DepAcc=27095065 > 2 fatura - Close=MIXED	TAH_LOG
52	EMANET_MULTI_MAIN	INFO	\N	19733171	\N	276503	\N	202.77	84.19	Ayni emanet DepAcc=13841039 > 5 fatura - Close=MIXED	TAH_LOG
53	EMANET_MULTI_MAIN	INFO	\N	20133086	\N	276503	\N	385.44	0	Ayni emanet DepAcc=13841039 > 5 fatura - Close=MAHSUP_ONLY	TAH_LOG
54	EMANET_MULTI_MAIN	INFO	\N	20257454	\N	276503	\N	246.28	0	Ayni emanet DepAcc=13841039 > 5 fatura - Close=MAHSUP_ONLY	TAH_LOG
55	EMANET_MULTI_MAIN	INFO	\N	20360857	\N	276503	\N	160.86	0	Ayni emanet DepAcc=13841039 > 5 fatura - Close=MAHSUP_ONLY	TAH_LOG
56	EMANET_MULTI_MAIN	INFO	\N	20622609	\N	276503	\N	98.05	0	Ayni emanet DepAcc=13841039 > 5 fatura - Close=MAHSUP_ONLY	TAH_LOG
57	EMANET_MULTI_MAIN	INFO	\N	20811205	\N	276503	\N	11.6	0	Ayni emanet DepAcc=27047596 > 2 fatura - Close=MAHSUP_ONLY	TAH_LOG
58	EMANET_MULTI_MAIN	INFO	\N	49747797	\N	276503	\N	22.5	22.5	Ayni emanet DepAcc=27047596 > 2 fatura - Close=MIXED	TAH_LOG
59	EMANET_MULTI_MAIN	INFO	\N	72656434	\N	556305	\N	22	0	Ayni emanet DepAcc=32602009 > 2 fatura - Close=MAHSUP_ONLY	TAH_LOG
60	EMANET_MULTI_MAIN	INFO	\N	73159848	\N	556305	\N	11.7	0	Ayni emanet DepAcc=32602009 > 2 fatura - Close=MAHSUP_ONLY	TAH_LOG
61	PAY_CANCELED	INFO	109510236	109425605	51407277	197168	32	662	\N	ACTION_TYPE=9 makbuz eslesmesi - CANCELED=1	TAH_LOG
62	PAY_NO_ALLOC	WARN	39229138	\N	8340070	2221	4	3739	\N	Tip2 odeme ALLOC yok - PT/PAID yazilmadi	TAH_LOG
