EKS_ACTION_ID	ACCOUNT_ID	MAIN_LREF	ABYS_AGREEMENT_ID	IADE_LREF	MAIN_GRANDTOTAL	MAIN_PAYABLETOTAL	EKS_DATE	CLIENTREF	MAIN_TYPE	VALID_PAY_CNT
67481968	29622585	67447792	5727	1667481968	112	112	2017-01-19 11:33:16	6879	119	0
74030553	33055083	74030551	5727	1674030553	6.79	6.79	2017-11-18 14:48:40	6879	119	0
74030273	33055009	74030265	5727	1674030273	16.53	16.53	2017-11-18 11:47:28	6879	119	0
74030584	33055097	74030576	5727	1674030584	6.79	6.79	2017-11-18 14:51:15	6879	119	0
76361588	34202546	76361587	5727	1676361588	116	116	2018-03-04 16:47:41	6879	119	0
76361596	34202548	76361590	5727	1676361596	118.13	118.13	2018-03-04 16:56:29	6879	119	0
76361601	34202552	76361600	5727	1676361601	188.93	188.93	2018-03-04 17:35:17	6879	119	0
89640308	41154888	89640248	5727	1689640308	5.45	5.45	2019-09-26 01:58:41	6879	119	0
89640255	41154894	89640254	5727	1689640255	5.02	5.02	2019-09-26 02:42:34	6879	119	0
116745295	55169583	116745294	5727	1716745295	735.02	735.02	2022-10-07 23:58:34	6879	119	0
116777475	55169586	116745395	5727	1716777475	198.76	198.76	2022-10-10 10:28:11	6879	119	0
76361595	34202550	76361594	5727	1676361595	76.91	76.91	2018-03-04 16:55:38	6879	119	0
123121756	58680626	123121467	5727	1723121756	123	123	2023-06-21 22:25:28	6879	109	0
18058764	11091398	18058763	197168	1618058764	295	295	2011-05-11 00:00:00	251522	119	0
123240339	58522082	122868581	197168	1723240339	243.47	243.47	2023-07-02 18:58:50	251522	119	1
67004253	29336734	66932162	197168	1667004253	44	44	2016-12-29 12:27:13	251522	119	0
